Entity,Code,Year,Deaths - Liver cancer - Sex: Both - Age: All Ages (Number),Deaths - Kidney cancer - Sex: Both - Age: All Ages (Number),Deaths - Lip and oral cavity cancer - Sex: Both - Age: All Ages (Number),"Deaths - Tracheal, bronchus, and lung cancer - Sex: Both - Age: All Ages (Number)",Deaths - Larynx cancer - Sex: Both - Age: All Ages (Number),Deaths - Gallbladder and biliary tract cancer - Sex: Both - Age: All Ages (Number),Deaths - Malignant skin melanoma - Sex: Both - Age: All Ages (Number),Deaths - Leukemia - Sex: Both - Age: All Ages (Number),Deaths - Hodgkin lymphoma - Sex: Both - Age: All Ages (Number),Deaths - Multiple myeloma - Sex: Both - Age: All Ages (Number),Deaths - Other neoplasms - Sex: Both - Age: All Ages (Number),Deaths - Breast cancer - Sex: Both - Age: All Ages (Number),Deaths - Prostate cancer - Sex: Both - Age: All Ages (Number),Deaths - Thyroid cancer - Sex: Both - Age: All Ages (Number),Deaths - Stomach cancer - Sex: Both - Age: All Ages (Number),Deaths - Bladder cancer - Sex: Both - Age: All Ages (Number),Deaths - Uterine cancer - Sex: Both - Age: All Ages (Number),Deaths - Ovarian cancer - Sex: Both - Age: All Ages (Number),Deaths - Cervical cancer - Sex: Both - Age: All Ages (Number),Deaths - Brain and central nervous system cancer - Sex: Both - Age: All Ages (Number),Deaths - Non-Hodgkin lymphoma - Sex: Both - Age: All Ages (Number),Deaths - Pancreatic cancer - Sex: Both - Age: All Ages (Number),Deaths - Esophageal cancer - Sex: Both - Age: All Ages (Number),Deaths - Testicular cancer - Sex: Both - Age: All Ages (Number),Deaths - Nasopharynx cancer - Sex: Both - Age: All Ages (Number),Deaths - Other pharynx cancer - Sex: Both - Age: All Ages (Number),Deaths - Colon and rectum cancer - Sex: Both - Age: All Ages (Number),Deaths - Non-melanoma skin cancer - Sex: Both - Age: All Ages (Number),Deaths - Mesothelioma - Sex: Both - Age: All Ages (Number)
Afghanistan,AFG,1990,851,66,89,983,260,180,47,1055,102,108,16,526,351,56,2200,263,61,79,332,422,996,138,529,3,66,37,539,25,6
Afghanistan,AFG,1991,866,66,89,982,263,182,48,1089,108,109,17,538,356,58,2238,264,62,80,340,438,1010,137,535,4,67,37,542,26,7
Afghanistan,AFG,1992,890,68,91,989,268,185,51,1171,118,110,17,560,362,60,2300,267,63,82,353,472,1040,137,546,4,69,38,550,26,7
Afghanistan,AFG,1993,914,70,93,995,275,189,53,1252,126,113,17,582,368,62,2375,271,64,84,367,505,1062,139,560,5,72,39,555,27,7
Afghanistan,AFG,1994,933,71,94,996,282,193,54,1296,130,115,17,599,374,63,2447,273,65,85,380,526,1069,140,575,5,73,39,554,28,8
Afghanistan,AFG,1995,946,71,94,995,286,195,56,1323,135,116,17,610,377,65,2502,275,66,86,389,541,1074,139,584,6,74,39,552,28,8
Afghanistan,AFG,1996,962,72,95,994,291,198,57,1358,139,118,17,622,379,66,2564,277,67,88,399,559,1081,139,595,6,75,39,550,28,8
Afghanistan,AFG,1997,976,73,95,993,295,201,58,1398,143,119,17,635,382,68,2624,278,68,90,410,580,1090,139,606,6,75,39,550,29,8
Afghanistan,AFG,1998,985,73,96,990,299,203,59,1403,145,121,17,646,384,69,2674,278,68,91,419,588,1094,140,615,6,76,39,549,29,9
Afghanistan,AFG,1999,994,73,96,987,302,206,60,1399,146,122,17,658,386,70,2726,280,69,93,428,591,1098,141,626,6,76,39,548,29,9
Afghanistan,AFG,2000,1002,73,96,989,307,209,61,1410,148,123,16,670,388,72,2797,281,70,95,438,600,1100,142,633,6,76,39,549,30,9
Afghanistan,AFG,2001,1018,74,96,1002,315,214,63,1451,155,125,16,689,392,75,2901,284,72,98,453,623,1113,145,642,7,76,39,557,31,10
Afghanistan,AFG,2002,1019,75,96,1008,315,214,63,1468,157,125,16,699,394,76,2928,284,73,101,456,636,1126,148,639,7,75,39,567,32,10
Afghanistan,AFG,2003,1036,80,97,1024,318,216,64,1608,165,126,16,722,398,78,2973,286,75,105,464,703,1165,152,641,8,75,39,585,33,10
